Economic_Freedom_Indicator,Outcome_Variable,Lag_Years,Correlation,P_Value,Sample_Size,CI_Lower,CI_Upper,Strength,Significance
Investment Freedom,Extreme_Poverty_Share,23,-0.243,0.0442,69,-0.4536,-0.0067,Weak,Significant
Monetary Freedom,HDI,-19,0.2428,0.0001,262,0.1253,0.3536,Weak,Significant
Monetary Freedom,Extreme_Poverty_Share,8,-0.2428,0.0,821,-0.3061,-0.1773,Weak,Significant
Financial Freedom,Gini_Index,-12,-0.2428,0.0,661,-0.3133,-0.1697,Weak,Significant
Property Rights,Inflation_Rate,15,-0.2428,0.0,464,-0.3266,-0.1552,Weak,Significant
Labor Freedom,Extreme_Poverty_Share,-23,-0.2428,0.03,80,-0.4391,-0.0244,Weak,Significant
Overall Score,Foreign_Aid_Given,14,0.2426,0.0,298,0.1327,0.3467,Weak,Significant
Overall Score,HDI,24,0.2424,0.0498,66,0.0004,0.4576,Weak,Significant
Labor Freedom,Gini_Index,-4,-0.242,0.0,1075,-0.2975,-0.1849,Weak,Significant
Monetary Freedom,Extreme_Poverty_Share,5,-0.242,0.0,1011,-0.2992,-0.1831,Weak,Significant
Government Spending,Foreign_Aid_Given,5,-0.2416,0.0,582,-0.3167,-0.1636,Weak,Significant
Government Integrity,Foreign_Aid_Received,-21,-0.2416,0.0165,98,-0.4199,-0.0454,Weak,Significant
Government Spending,Foreign_Aid_Given,-4,-0.2416,0.0,567,-0.3176,-0.1625,Weak,Significant
Monetary Freedom,HDI,23,0.2414,0.0145,102,0.0492,0.4163,Weak,Significant
Overall Score,Foreign_Aid_Given,18,0.2413,0.0016,169,0.0938,0.3785,Weak,Significant
Business Freedom,Foreign_Aid_Given,22,0.2413,0.0567,63,-0.0068,0.4615,Weak,Not Significant
Tax Burden,Unemployment_Rate,23,0.2412,0.0146,102,0.049,0.4161,Weak,Significant
Labor Freedom,Unemployment_Rate,-19,0.2412,0.0001,272,0.1259,0.3501,Weak,Significant
Business Freedom,Inflation_Rate,3,-0.2411,0.0,1278,-0.2921,-0.1887,Weak,Significant
Monetary Freedom,Extreme_Poverty_Share,11,-0.241,0.0,642,-0.3126,-0.1668,Weak,Significant
Labor Freedom,HDI,-13,0.2409,0.0,579,0.1627,0.3162,Weak,Significant
Investment Freedom,HDI,18,0.2405,0.0,320,0.1344,0.3411,Weak,Significant
Overall Score,Foreign_Aid_Given,13,0.2403,0.0,330,0.1358,0.3394,Weak,Significant
Overall Score,Extreme_Poverty_Share,5,-0.2402,0.0,1011,-0.2975,-0.1812,Weak,Significant
Government Spending,Foreign_Aid_Given,4,-0.2401,0.0,610,-0.3135,-0.1639,Weak,Significant
Fiscal Health,Foreign_Aid_Given,-7,-0.2399,0.001,186,-0.371,-0.0994,Weak,Significant
Government Integrity,Foreign_Aid_Received,5,-0.2398,0.0,528,-0.3186,-0.1576,Weak,Significant
Overall Score,Foreign_Aid_Given,15,0.2395,0.0001,265,0.1225,0.3499,Weak,Significant
Overall Score,Foreign_Aid_Given,12,0.2395,0.0,363,0.1401,0.3342,Weak,Significant
Government Integrity,Foreign_Aid_Received,-2,-0.2393,0.0,746,-0.3059,-0.1705,Weak,Significant
Monetary Freedom,Extreme_Poverty_Share,-1,-0.2389,0.0,1424,-0.2872,-0.1893,Weak,Significant
Monetary Freedom,Extreme_Poverty_Share,6,-0.2387,0.0,943,-0.298,-0.1776,Weak,Significant
Labor Freedom,Foreign_Aid_Given,-19,-0.2387,0.0174,99,-0.4165,-0.0433,Weak,Significant
Labor Freedom,Gini_Index,11,-0.2387,0.0,366,-0.3331,-0.1396,Weak,Significant
Labor Freedom,Gini_Index,6,-0.2385,0.0,670,-0.3086,-0.1657,Weak,Significant
Labor Freedom,Gini_Index,7,-0.2384,0.0,606,-0.3121,-0.1618,Weak,Significant
Fiscal Health,Life_Expectancy,-2,0.2382,0.0,400,0.1435,0.3286,Weak,Significant
Fiscal Health,Foreign_Aid_Given,4,-0.2379,0.0774,56,-0.4714,0.0266,Weak,Not Significant
Labor Freedom,Extreme_Poverty_Share,-20,-0.2379,0.0016,174,-0.3735,-0.0924,Weak,Significant
Overall Score,Foreign_Aid_Given,-20,-0.2378,0.0373,77,-0.4384,-0.0146,Weak,Significant
Trade Freedom,Inflation_Rate,3,-0.2377,0.0,1278,-0.2887,-0.1852,Weak,Significant
Investment Freedom,Gini_Index,-5,-0.2377,0.0,1130,-0.292,-0.1819,Weak,Significant
Monetary Freedom,Foreign_Aid_Given,9,0.2376,0.0,459,0.1493,0.3221,Weak,Significant
Fiscal Health,Life_Expectancy,-3,0.2375,0.0,389,0.1414,0.3291,Weak,Significant
Investment Freedom,Life_Expectancy,20,0.2373,0.0003,223,0.1094,0.3576,Weak,Significant
Fiscal Health,Foreign_Aid_Given,-13,-0.2372,0.0029,156,-0.3802,-0.0832,Weak,Significant
Property Rights,Foreign_Aid_Received,-7,-0.2372,0.0,456,-0.3221,-0.1486,Weak,Significant
Judicial Effectiveness,Inflation_Rate,-3,-0.2371,0.0,377,-0.3302,-0.1395,Weak,Significant
Tax Burden,Foreign_Aid_Received,5,-0.237,0.0,528,-0.3159,-0.1548,Weak,Significant
Labor Freedom,Gini_Index,8,-0.2369,0.0,544,-0.3147,-0.1559,Weak,Significant
Government Integrity,Foreign_Aid_Received,-6,-0.2369,0.0,491,-0.3187,-0.1516,Weak,Significant
Government Integrity,Foreign_Aid_Received,13,-0.2368,0.0001,271,-0.3462,-0.1211,Weak,Significant
Monetary Freedom,Extreme_Poverty_Share,-2,-0.2366,0.0,1308,-0.2871,-0.1848,Weak,Significant
Labor Freedom,Gini_Index,5,-0.2366,0.0,736,-0.3036,-0.1671,Weak,Significant
Overall Score,Extreme_Poverty_Share,7,-0.2363,0.0,882,-0.2977,-0.173,Weak,Significant
Investment Freedom,Inflation_Rate,16,-0.2362,0.0,411,-0.3255,-0.1427,Weak,Significant
Government Spending,Foreign_Aid_Given,3,-0.2361,0.0,637,-0.3081,-0.1614,Weak,Significant
Financial Freedom,Gini_Index,-11,-0.236,0.0,722,-0.3037,-0.1659,Weak,Significant
Financial Freedom,Foreign_Aid_Received,-21,0.236,0.0193,98,0.0394,0.415,Weak,Significant
Government Integrity,Foreign_Aid_Received,14,-0.2359,0.0002,246,-0.3506,-0.1142,Weak,Significant
Labor Freedom,Gini_Index,-3,-0.2356,0.0,1127,-0.29,-0.1797,Weak,Significant
Fiscal Health,HDI,-5,0.2354,0.0,356,0.1348,0.3313,Weak,Significant
Government Integrity,Foreign_Aid_Received,-5,-0.2354,0.0,536,-0.3138,-0.1538,Weak,Significant
Labor Freedom,HDI,5,0.2353,0.0,720,0.1651,0.3032,Weak,Significant
Labor Freedom,Gini_Index,9,-0.2352,0.0,484,-0.3176,-0.1492,Weak,Significant
Monetary Freedom,Extreme_Poverty_Share,22,-0.2348,0.0175,102,-0.4105,-0.0423,Weak,Significant
Labor Freedom,Gini_Index,10,-0.2348,0.0,424,-0.3228,-0.1427,Weak,Significant
Overall Score,Gini_Index,-2,-0.2347,0.0,1446,-0.2828,-0.1854,Weak,Significant
Business Freedom,Foreign_Aid_Received,-7,-0.2345,0.0,456,-0.3194,-0.1458,Weak,Significant
Labor Freedom,Extreme_Poverty_Share,-18,-0.2341,0.0002,255,-0.3469,-0.1145,Weak,Significant
Labor Freedom,HDI,7,0.2341,0.0,593,0.1565,0.3088,Weak,Significant
Tax Burden,Extreme_Poverty_Share,5,0.234,0.0,1011,0.1748,0.2914,Weak,Significant
Overall Score,Foreign_Aid_Received,20,-0.2337,0.0131,112,-0.4019,-0.0504,Weak,Significant
Government Integrity,Foreign_Aid_Received,-3,-0.2336,0.0,665,-0.3043,-0.1604,Weak,Significant
Investment Freedom,Inflation_Rate,14,-0.2336,0.0,519,-0.3134,-0.1505,Weak,Significant
Labor Freedom,HDI,4,0.2335,0.0,788,0.1664,0.2985,Weak,Significant
Financial Freedom,Foreign_Aid_Given,22,0.2334,0.0656,63,-0.0153,0.4549,Weak,Not Significant
Fiscal Health,HDI,1,0.2333,0.0001,294,0.1222,0.3386,Weak,Significant
Property Rights,Inflation_Rate,19,-0.2332,0.0001,261,-0.3449,-0.1151,Weak,Significant
Labor Freedom,Gini_Index,2,-0.2331,0.0,991,-0.2912,-0.1734,Weak,Significant
Investment Freedom,Inflation_Rate,-18,-0.2331,0.0,312,-0.3355,-0.1253,Weak,Significant
Investment Freedom,Inflation_Rate,15,-0.2329,0.0,464,-0.3172,-0.1449,Weak,Significant
Fiscal Health,Foreign_Aid_Given,-11,-0.2328,0.0024,168,-0.3711,-0.0843,Weak,Significant
Government Spending,Unemployment_Rate,-21,-0.2328,0.0017,180,-0.3666,-0.0896,Weak,Significant
Labor Freedom,HDI,11,0.2327,0.0,357,0.1321,0.3285,Weak,Significant
Overall Score,Foreign_Aid_Given,11,0.2324,0.0,395,0.1368,0.3236,Weak,Significant
Labor Freedom,HDI,6,0.2323,0.0,656,0.1586,0.3035,Weak,Significant
Fiscal Health,Foreign_Aid_Given,-14,-0.2319,0.0042,151,-0.3776,-0.0749,Weak,Significant
Government Integrity,Inflation_Rate,21,-0.2318,0.0023,171,-0.3691,-0.0847,Weak,Significant
Financial Freedom,Inflation_Rate,-15,-0.2317,0.0,466,-0.3159,-0.1439,Weak,Significant
Monetary Freedom,Extreme_Poverty_Share,10,-0.2317,0.0,702,-0.3006,-0.1605,Weak,Significant
Labor Freedom,Extreme_Poverty_Share,-17,-0.2317,0.0,301,-0.3359,-0.1218,Weak,Significant
Financial Freedom,Foreign_Aid_Received,-22,0.2315,0.0401,79,0.011,0.4306,Weak,Significant
Monetary Freedom,Foreign_Aid_Given,-16,-0.2314,0.0019,177,-0.3664,-0.0869,Weak,Significant
Government Spending,Foreign_Aid_Given,2,-0.2311,0.0,662,-0.302,-0.1577,Weak,Significant
Government Spending,Foreign_Aid_Given,-3,-0.231,0.0,602,-0.3052,-0.1539,Weak,Significant
Investment Freedom,Inflation_Rate,13,-0.2307,0.0,574,-0.3067,-0.1517,Weak,Significant
Financial Freedom,Inflation_Rate,13,-0.2306,0.0,574,-0.3066,-0.1516,Weak,Significant
Financial Freedom,Foreign_Aid_Received,-23,0.2305,0.0764,60,-0.0249,0.4576,Weak,Not Significant
Overall Score,Foreign_Aid_Received,-4,-0.2305,0.0,595,-0.3052,-0.1529,Weak,Significant
Trade Freedom,Foreign_Aid_Given,21,0.2303,0.0351,84,0.0167,0.4238,Weak,Significant
Financial Freedom,Foreign_Aid_Received,-20,0.2301,0.0122,118,0.0514,0.3944,Weak,Significant
Fiscal Health,Extreme_Poverty_Share,-2,-0.2297,0.0,385,-0.3223,-0.1329,Weak,Significant
Government Integrity,Foreign_Aid_Received,-20,-0.2296,0.0124,118,-0.394,-0.0509,Weak,Significant
Labor Freedom,HDI,-12,0.2295,0.0,637,0.1546,0.3018,Weak,Significant
Monetary Freedom,Gini_Index,-10,-0.2294,0.0,785,-0.2946,-0.162,Weak,Significant
Fiscal Health,Foreign_Aid_Given,-10,-0.2291,0.0024,173,-0.3658,-0.0827,Weak,Significant
Fiscal Health,Unemployment_Rate,-3,-0.2285,0.0,386,-0.321,-0.1317,Weak,Significant
Overall Score,Foreign_Aid_Received,-5,-0.2284,0.0,536,-0.3071,-0.1465,Weak,Significant
Monetary Freedom,Extreme_Poverty_Share,9,-0.2283,0.0,761,-0.2946,-0.1598,Weak,Significant
Monetary Freedom,Inflation_Rate,-16,-0.2277,0.0,413,-0.3172,-0.1341,Weak,Significant
Labor Freedom,HDI,8,0.2277,0.0,532,0.1455,0.3067,Weak,Significant
Monetary Freedom,Extreme_Poverty_Share,21,-0.2276,0.0071,139,-0.3797,-0.0635,Weak,Significant
Government Spending,Foreign_Aid_Received,-18,0.2275,0.004,158,0.074,0.3705,Weak,Significant
Property Rights,Foreign_Aid_Received,23,-0.2274,0.1015,53,-0.4689,0.0457,Weak,Not Significant
Labor Freedom,Gini_Index,1,-0.2274,0.0,1110,-0.2825,-0.1709,Weak,Significant
Trade Freedom,Inflation_Rate,8,-0.227,0.0,876,-0.2889,-0.1632,Weak,Significant
Monetary Freedom,Foreign_Aid_Given,8,0.227,0.0,491,0.1413,0.3092,Weak,Significant
Fiscal Health,Foreign_Aid_Given,2,-0.2269,0.0119,122,-0.389,-0.0512,Weak,Significant
Overall Score,Foreign_Aid_Received,-6,-0.2269,0.0,491,-0.3092,-0.1412,Weak,Significant
Overall Score,Foreign_Aid_Given,10,0.2269,0.0,427,0.1349,0.315,Weak,Significant
Fiscal Health,Inflation_Rate,4,0.2269,0.0225,101,0.0329,0.4044,Weak,Significant
Fiscal Health,Extreme_Poverty_Share,1,-0.2268,0.0004,238,-0.344,-0.1025,Weak,Significant
Labor Freedom,Gini_Index,3,-0.2264,0.0,886,-0.2879,-0.1629,Weak,Significant
Judicial Effectiveness,Inflation_Rate,-4,-0.2264,0.0,364,-0.3217,-0.1266,Weak,Significant
Government Integrity,Foreign_Aid_Received,0,-0.2264,0.0,929,-0.2865,-0.1644,Weak,Significant
Government Spending,Foreign_Aid_Given,1,-0.2263,0.0,686,-0.2962,-0.1541,Weak,Significant
Financial Freedom,Extreme_Poverty_Share,20,-0.2263,0.0023,179,-0.3609,-0.0823,Weak,Significant
Investment Freedom,Extreme_Poverty_Share,3,-0.2263,0.0,1178,-0.2798,-0.1714,Weak,Significant
Property Rights,Foreign_Aid_Received,-5,-0.2262,0.0,536,-0.3051,-0.1443,Weak,Significant
Property Rights,Inflation_Rate,3,-0.2262,0.0,1278,-0.2776,-0.1736,Weak,Significant
Labor Freedom,Gini_Index,4,-0.226,0.0,806,-0.2905,-0.1594,Weak,Significant
Government Spending,Foreign_Aid_Given,-2,-0.226,0.0,637,-0.2985,-0.151,Weak,Significant
Business Freedom,Foreign_Aid_Received,-8,-0.2254,0.0,423,-0.314,-0.1329,Weak,Significant
Monetary Freedom,Extreme_Poverty_Share,15,-0.2254,0.0,419,-0.3144,-0.1325,Weak,Significant
Trade Freedom,Extreme_Poverty_Share,23,-0.2253,0.0626,69,-0.4386,0.012,Weak,Not Significant
Property Rights,Foreign_Aid_Received,-19,-0.2251,0.0079,138,-0.378,-0.0603,Weak,Significant
Trade Freedom,Extreme_Poverty_Share,-23,-0.225,0.0448,80,-0.4238,-0.0055,Weak,Significant
Financial Freedom,Foreign_Aid_Received,-18,0.225,0.0045,158,0.0713,0.3682,Weak,Significant
Overall Score,Foreign_Aid_Received,22,-0.2249,0.0593,71,-0.4354,0.0089,Weak,Not Significant
Overall Score,Extreme_Poverty_Share,16,-0.2249,0.0,368,-0.3198,-0.1256,Weak,Significant
Business Freedom,Gini_Index,15,-0.2248,0.0,488,-0.3074,-0.1388,Weak,Significant
Government Integrity,Foreign_Aid_Received,-19,-0.2243,0.0082,138,-0.3772,-0.0594,Weak,Significant
Overall Score,Foreign_Aid_Received,18,-0.224,0.0052,154,-0.3691,-0.0683,Weak,Significant
Overall Score,Foreign_Aid_Received,-3,-0.2239,0.0,665,-0.295,-0.1505,Weak,Significant
Financial Freedom,Gini_Index,-10,-0.2239,0.0,785,-0.2893,-0.1564,Weak,Significant
Overall Score,Extreme_Poverty_Share,6,-0.2238,0.0,943,-0.2836,-0.1623,Weak,Significant
Trade Freedom,Foreign_Aid_Given,17,0.2236,0.0015,200,0.0876,0.3514,Weak,Significant
Business Freedom,Foreign_Aid_Received,0,-0.2236,0.0,929,-0.2839,-0.1616,Weak,Significant
Government Integrity,Inflation_Rate,19,-0.2236,0.0003,261,-0.3359,-0.1051,Weak,Significant
Labor Freedom,Unemployment_Rate,-18,0.2234,0.0001,322,0.1169,0.3247,Weak,Significant
Financial Freedom,Foreign_Aid_Received,-17,0.2232,0.0027,178,0.0787,0.3585,Weak,Significant
Financial Freedom,Foreign_Aid_Received,-19,0.2228,0.0086,138,0.0579,0.3759,Weak,Significant
Financial Freedom,Inflation_Rate,-14,-0.2226,0.0,521,-0.3027,-0.1394,Weak,Significant
Overall Score,Extreme_Poverty_Share,17,-0.2226,0.0001,317,-0.3248,-0.1153,Weak,Significant
Labor Freedom,HDI,10,0.2225,0.0,414,0.1288,0.3121,Weak,Significant
Fiscal Health,Foreign_Aid_Given,-12,-0.2225,0.0043,163,-0.3638,-0.0712,Weak,Significant
Labor Freedom,HDI,-11,0.2224,0.0,697,0.1506,0.2918,Weak,Significant
Overall Score,Foreign_Aid_Given,9,0.2223,0.0,459,0.1335,0.3076,Weak,Significant
Business Freedom,Foreign_Aid_Given,14,0.2222,0.0001,298,0.1114,0.3275,Weak,Significant
Investment Freedom,Foreign_Aid_Received,-8,-0.2222,0.0,423,-0.311,-0.1296,Weak,Significant
Property Rights,Foreign_Aid_Received,-4,-0.2221,0.0,595,-0.2972,-0.1443,Weak,Significant
Property Rights,Unemployment_Rate,23,-0.2221,0.0248,102,-0.3994,-0.0289,Weak,Significant
Investment Freedom,Inflation_Rate,6,-0.222,0.0,1007,-0.2799,-0.1624,Weak,Significant
Government Integrity,Foreign_Aid_Received,12,-0.2219,0.0001,297,-0.3274,-0.1109,Weak,Significant
Labor Freedom,HDI,9,0.2219,0.0,473,0.1344,0.3059,Weak,Significant
Overall Score,Foreign_Aid_Received,-1,-0.2214,0.0,835,-0.2849,-0.1558,Weak,Significant
Monetary Freedom,Extreme_Poverty_Share,19,-0.2213,0.0009,222,-0.343,-0.0923,Weak,Significant
Investment Freedom,Inflation_Rate,3,-0.221,0.0,1278,-0.2726,-0.1682,Weak,Significant
Overall Score,Foreign_Aid_Received,-2,-0.2208,0.0,746,-0.288,-0.1514,Weak,Significant
Government Spending,Foreign_Aid_Given,-1,-0.2207,0.0,672,-0.2915,-0.1475,Weak,Significant
Labor Freedom,Life_Expectancy,-22,0.2206,0.0088,140,0.0567,0.3728,Weak,Significant
Labor Freedom,Extreme_Poverty_Share,-16,-0.2205,0.0,351,-0.3179,-0.1186,Weak,Significant
Fiscal Health,Extreme_Poverty_Share,-3,-0.2204,0.0,377,-0.3144,-0.1221,Weak,Significant
Tax Burden,Inflation_Rate,18,0.2203,0.0001,310,0.1116,0.3237,Weak,Significant
Overall Score,Inflation_Rate,0,-0.2201,0.0,1635,-0.2657,-0.1735,Weak,Significant
Overall Score,Gini_Index,-1,-0.2199,0.0,1572,-0.2665,-0.1724,Weak,Significant
Property Rights,Foreign_Aid_Received,-17,-0.2198,0.0032,178,-0.3554,-0.0751,Weak,Significant
Monetary Freedom,Foreign_Aid_Given,-15,-0.2198,0.0015,205,-0.3464,-0.0853,Weak,Significant
Investment Freedom,Unemployment_Rate,24,-0.2197,0.0763,66,-0.4384,0.0236,Weak,Not Significant
Property Rights,Foreign_Aid_Received,21,-0.2197,0.0364,91,-0.4072,-0.0144,Weak,Significant
Fiscal Health,HDI,-14,0.2194,0.0001,309,0.1105,0.3231,Weak,Significant
Overall Score,Foreign_Aid_Received,19,-0.2193,0.0112,133,-0.3755,-0.0509,Weak,Significant
Financial Freedom,Extreme_Poverty_Share,15,-0.2193,0.0,419,-0.3086,-0.1262,Weak,Significant
Financial Freedom,Extreme_Poverty_Share,4,-0.2192,0.0,1089,-0.275,-0.1619,Weak,Significant
Labor Freedom,Gini_Index,-2,-0.2191,0.0,1179,-0.2727,-0.164,Weak,Significant
Fiscal Health,HDI,-15,0.2187,0.0001,297,0.1075,0.3244,Weak,Significant
Investment Freedom,HDI,19,0.2187,0.0003,270,0.102,0.3295,Weak,Significant
Monetary Freedom,Unemployment_Rate,-23,-0.2187,0.0257,104,-0.3947,-0.0273,Weak,Significant
Labor Freedom,HDI,-10,0.2185,0.0,759,0.1497,0.2852,Weak,Significant
Fiscal Health,Inflation_Rate,3,0.2184,0.006,157,0.064,0.3626,Weak,Significant
Overall Score,Extreme_Poverty_Share,21,-0.2182,0.0099,139,-0.3712,-0.0537,Weak,Significant
Government Integrity,Foreign_Aid_Received,9,-0.2181,0.0,384,-0.3114,-0.1207,Weak,Significant
Investment Freedom,Inflation_Rate,12,-0.218,0.0,631,-0.2911,-0.1424,Weak,Significant
Monetary Freedom,Inflation_Rate,-8,-0.2178,0.0,878,-0.28,-0.1539,Weak,Significant
Monetary Freedom,Life_Expectancy,-21,0.2177,0.0033,180,0.0738,0.3528,Weak,Significant
Overall Score,Foreign_Aid_Received,15,-0.2177,0.0011,221,-0.3399,-0.0883,Weak,Significant
Government Integrity,Foreign_Aid_Received,6,-0.2174,0.0,483,-0.3008,-0.1307,Weak,Significant
Fiscal Health,Foreign_Aid_Given,-6,-0.2171,0.0028,187,-0.3497,-0.076,Weak,Significant
Investment Freedom,Gini_Index,23,0.2171,0.0261,105,0.0265,0.3924,Weak,Significant
Tax Burden,Foreign_Aid_Received,3,-0.2169,0.0,658,-0.2885,-0.1428,Weak,Significant
Judicial Effectiveness,Foreign_Aid_Received,-1,-0.2168,0.0011,223,-0.3385,-0.0879,Weak,Significant
Government Spending,Foreign_Aid_Given,0,-0.2165,0.0,707,-0.2857,-0.1451,Weak,Significant
Business Freedom,Inflation_Rate,12,-0.2165,0.0,631,-0.2897,-0.1408,Weak,Significant
Financial Freedom,Gini_Index,-9,-0.2165,0.0,849,-0.2798,-0.1515,Weak,Significant
Judicial Effectiveness,Foreign_Aid_Received,1,-0.2165,0.0091,144,-0.3671,-0.0549,Weak,Significant
Monetary Freedom,Foreign_Aid_Received,-23,0.2164,0.0968,60,-0.0397,0.4458,Weak,Not Significant
Overall Score,HDI,22,0.2163,0.0108,138,0.051,0.37,Weak,Significant
Investment Freedom,Gini_Index,-4,-0.2162,0.0,1224,-0.269,-0.1621,Weak,Significant
Labor Freedom,HDI,3,0.2161,0.0,866,0.1517,0.2787,Weak,Significant
Financial Freedom,Extreme_Poverty_Share,19,-0.2161,0.0012,222,-0.3381,-0.0868,Weak,Significant
Overall Score,HDI,23,0.216,0.0292,102,0.0224,0.3939,Weak,Significant
Government Integrity,Foreign_Aid_Received,-17,-0.2159,0.0038,178,-0.3518,-0.0711,Weak,Significant
Monetary Freedom,Inflation_Rate,-23,-0.2159,0.0319,99,-0.3964,-0.0193,Weak,Significant
Monetary Freedom,HDI,24,0.2157,0.082,66,-0.0278,0.435,Weak,Not Significant
Business Freedom,Foreign_Aid_Received,-6,-0.2152,0.0,491,-0.298,-0.1292,Weak,Significant
Property Rights,Foreign_Aid_Received,-8,-0.2151,0.0,423,-0.3042,-0.1223,Weak,Significant
Investment Freedom,Foreign_Aid_Given,-19,-0.2151,0.0325,99,-0.3957,-0.0184,Weak,Significant
Monetary Freedom,Foreign_Aid_Given,7,0.2151,0.0,522,0.1317,0.2954,Weak,Significant
Overall Score,Inflation_Rate,-20,-0.215,0.0014,217,-0.3384,-0.0842,Weak,Significant
Investment Freedom,Inflation_Rate,-16,-0.2149,0.0,413,-0.3051,-0.1209,Weak,Significant
Property Rights,Inflation_Rate,24,-0.2148,0.0937,62,-0.4409,0.037,Weak,Not Significant
Overall Score,Extreme_Poverty_Share,18,-0.2148,0.0004,268,-0.3263,-0.0975,Weak,Significant
Fiscal Health,HDI,-8,0.2146,0.0001,346,0.1117,0.313,Weak,Significant
Labor Freedom,HDI,-9,0.2146,0.0,817,0.1482,0.2791,Weak,Significant
Property Rights,Inflation_Rate,23,-0.2145,0.0349,97,-0.3969,-0.0157,Weak,Significant
Labor Freedom,HDI,-8,0.2143,0.0,867,0.1499,0.277,Weak,Significant
Tax Burden,Extreme_Poverty_Share,-3,0.2142,0.0,1198,0.1595,0.2676,Weak,Significant
Overall Score,Foreign_Aid_Given,8,0.2142,0.0,491,0.1281,0.297,Weak,Significant
Financial Freedom,Foreign_Aid_Received,22,-0.2139,0.0733,71,-0.4259,0.0204,Weak,Not Significant
Financial Freedom,Extreme_Poverty_Share,17,-0.2138,0.0001,317,-0.3165,-0.1061,Weak,Significant
Financial Freedom,Gini_Index,-8,-0.2137,0.0,914,-0.2747,-0.151,Weak,Significant
Property Rights,Foreign_Aid_Received,20,-0.2137,0.0237,112,-0.384,-0.0293,Weak,Significant
Government Integrity,Inflation_Rate,2,-0.2134,0.0,1391,-0.263,-0.1627,Weak,Significant
Financial Freedom,Extreme_Poverty_Share,14,-0.2134,0.0,473,-0.2978,-0.1256,Weak,Significant
Financial Freedom,Inflation_Rate,-13,-0.2133,0.0,576,-0.2899,-0.1339,Weak,Significant
Monetary Freedom,HDI,-20,0.2133,0.0016,216,0.0822,0.3372,Weak,Significant
Business Freedom,Inflation_Rate,17,-0.213,0.0,359,-0.3097,-0.1119,Weak,Significant
Fiscal Health,Foreign_Aid_Given,1,-0.2129,0.0076,156,-0.3581,-0.0577,Weak,Significant
Business Freedom,Foreign_Aid_Given,21,0.2129,0.0518,84,-0.0015,0.4087,Weak,Not Significant
Trade Freedom,Foreign_Aid_Given,18,0.2127,0.0055,169,0.0638,0.3523,Weak,Significant
Property Rights,Unemployment_Rate,24,-0.2126,0.0866,66,-0.4324,0.0311,Weak,Not Significant
Financial Freedom,Extreme_Poverty_Share,13,-0.2118,0.0,528,-0.2919,-0.1288,Weak,Significant
Overall Score,Extreme_Poverty_Share,19,-0.2117,0.0015,222,-0.3341,-0.0824,Weak,Significant
Labor Freedom,Life_Expectancy,-21,0.2117,0.0043,180,0.0676,0.3473,Weak,Significant
Financial Freedom,Extreme_Poverty_Share,16,-0.2117,0.0,368,-0.3073,-0.1119,Weak,Significant
Investment Freedom,Inflation_Rate,-17,-0.2116,0.0001,361,-0.3081,-0.1108,Weak,Significant
Overall Score,Foreign_Aid_Received,-7,-0.2115,0.0,456,-0.2975,-0.122,Weak,Significant
Fiscal Health,HDI,-16,0.2111,0.0003,283,0.0969,0.3199,Weak,Significant
Labor Freedom,Gini_Index,0,-0.2111,0.0,1245,-0.2635,-0.1573,Weak,Significant
Overall Score,Foreign_Aid_Received,4,-0.2107,0.0,587,-0.2867,-0.132,Weak,Significant
Government Integrity,Foreign_Aid_Received,-7,-0.2106,0.0,456,-0.2967,-0.1211,Weak,Significant
Fiscal Health,HDI,-13,0.2103,0.0002,315,0.1022,0.3135,Weak,Significant
Tax Burden,Unemployment_Rate,22,0.2102,0.0133,138,0.0447,0.3645,Weak,Significant
Judicial Effectiveness,Foreign_Aid_Given,-17,0.2101,0.0242,115,0.028,0.3786,Weak,Significant
Monetary Freedom,Extreme_Poverty_Share,-23,-0.2101,0.0614,80,-0.4108,0.0101,Weak,Not Significant
Overall Score,Foreign_Aid_Given,7,0.2101,0.0,522,0.1266,0.2907,Weak,Significant
Business Freedom,Inflation_Rate,13,-0.2101,0.0,574,-0.287,-0.1305,Weak,Significant
Financial Freedom,Extreme_Poverty_Share,12,-0.21,0.0,584,-0.2863,-0.1311,Weak,Significant
Labor Freedom,Gini_Index,-1,-0.2097,0.0,1221,-0.2627,-0.1554,Weak,Significant
Investment Freedom,Inflation_Rate,18,-0.2097,0.0002,310,-0.3138,-0.1006,Weak,Significant
Financial Freedom,Extreme_Poverty_Share,11,-0.2095,0.0,642,-0.2823,-0.1343,Weak,Significant
Trade Freedom,Foreign_Aid_Given,16,0.2094,0.0013,232,0.0829,0.3293,Weak,Significant
Government Spending,Foreign_Aid_Received,-17,0.2093,0.0051,178,0.0642,0.3457,Weak,Significant
Monetary Freedom,Gini_Index,-9,-0.2093,0.0,849,-0.2728,-0.1441,Weak,Significant
Labor Freedom,Foreign_Aid_Given,-18,-0.2092,0.0202,123,-0.3724,-0.0334,Weak,Significant
Government Integrity,Inflation_Rate,20,-0.2091,0.0021,215,-0.3335,-0.0774,Weak,Significant
Monetary Freedom,Foreign_Aid_Given,-21,-0.209,0.1187,57,-0.4453,0.0545,Weak,Not Significant
Property Rights,Unemployment_Rate,-23,0.2089,0.0334,104,0.0169,0.3859,Weak,Significant
Property Rights,Foreign_Aid_Received,15,-0.2087,0.0018,221,-0.3316,-0.0789,Weak,Significant
